"";"Matriculado";"Sexo";"Tipo";"Region";"Egreso";"Nem";"Ranking";"Matematicas";"Lenguaje"
"9249";1;0;0;"Valparaiso";2023;856;872;563;774
"9250";0;1;0;"Nuble";2023;893;905;575;491
"9251";0;0;0;"Nuble";2023;542;542;436;489
"9252";1;0;0;"Biobio";2022;922;952;811;802
"9253";0;0;0;"Tarapaca";2023;870;871;575;726
"9254";0;1;0;"Metropolitana";2023;742;745;642;567
"9255";0;0;1;"Valparaiso";2023;695;710;563;394
"9256";1;1;0;"Metropolitana";2023;799;799;599;611
"9257";0;0;0;"Maule";2023;409;409;513;567
"9258";1;1;0;"Araucania";2023;785;804;593;466
"9259";1;0;1;"Biobio";2023;652;661;392;534
"9260";0;0;0;"Metropolitana";2023;694;695;0;651
"9261";1;0;0;"Maule";2023;994;1000;688;815
"9262";0;1;0;"Valparaiso";2023;779;796;549;476
"9263";1;1;0;"Nuble";2023;814;819;478;484
"9264";1;0;0;"Metropolitana";2022;685;685;576;0
"9265";1;1;0;"Metropolitana";2023;942;949;616;802
"9266";0;1;0;"OHiggins";2020;622;621;563;563
"9267";0;1;0;"Metropolitana";2021;736;880;0;0
"9268";1;1;0;"Metropolitana";2023;965;1000;731;721
"9269";1;0;0;"Metropolitana";2023;671;671;657;726
"9270";0;0;0;"Valparaiso";2020;537;537;607;549
"9271";0;0;0;"Metropolitana";2023;699;699;705;573
"9272";0;0;1;"Atacama";2023;715;741;600;540
"9273";0;0;1;"Metropolitana";2023;715;749;450;607
"9274";1;1;0;"Metropolitana";2022;799;890;773;0
"9275";0;0;1;"Valparaiso";2023;681;703;436;563
"9276";1;0;1;"Metropolitana";2023;757;902;657;620
"9277";1;0;0;"Metropolitana";2023;680;680;844;802
"9278";0;0;0;"Metropolitana";2023;765;772;696;774
"9279";1;1;0;"Metropolitana";2022;808;827;535;759
"9280";0;0;1;"Metropolitana";2023;316;316;478;500
"9281";0;1;0;"Metropolitana";2020;572;572;657;641
"9282";0;0;1;"Tarapaca";2023;623;623;505;510
"9283";0;0;1;"Metropolitana";2023;574;576;0;0
"9284";1;0;0;"Maule";2018;594;594;628;788
"9285";1;0;1;"Antofagasta";2023;815;828;563;573
"9286";1;0;0;"Antofagasta";2023;751;751;505;656
"9287";0;0;0;"Maule";2023;526;526;489;506
"9288";1;0;0;"Metropolitana";2023;510;510;576;669
"9289";1;1;0;"Valparaiso";2023;765;780;696;620
"9290";1;0;0;"Metropolitana";2023;886;1000;669;656
"9291";1;1;0;"Metropolitana";2023;851;867;628;857
"9292";1;0;1;"Metropolitana";2023;427;427;424;549
"9293";1;1;0;"Metropolitana";2023;837;839;669;696
"9294";1;0;0;"Coquimbo";2021;694;691;939;423
"9295";0;0;0;"Maule";2023;837;844;616;573
"9296";0;1;0;"Metropolitana";2023;796;802;0;0
"9297";0;1;0;"Araucania";2023;736;746;513;620
"9298";1;1;0;"Aysen";2023;694;694;616;563
"9299";0;0;1;"Metropolitana";2023;715;743;593;489
"9300";1;0;0;"Metropolitana";2023;771;788;688;799
"9301";1;0;0;"Metropolitana";2020;580;586;498;686
"9302";1;1;0;"Araucania";2021;727;752;669;563
"9303";1;0;0;"Metropolitana";2023;865;868;688;754
"9304";1;1;0;"OHiggins";2022;879;888;785;799
"9305";1;1;0;"Maule";2018;599;599;717;770
"9306";1;1;0;"Metropolitana";2023;956;997;746;686
"9307";1;1;0;"Metropolitana";2023;842;847;939;799
"9308";0;0;0;"Valparaiso";2023;304;304;450;397
"9309";1;1;0;"Metropolitana";2017;580;580;600;696
